car name;price;engine_capacity;cylinder;horse_power;top_speed;seats;brand;country
BMW 8 Series Coupe 2021 M850i xDrive;SAR 599,500;4.4;8;523;250;4 Seater;bmw;ksa
BMW X5 2021 50i xDrive;SAR 521,840;4.4;6;462;243;5 Seater;bmw;ksa
Audi Q8 2021 55 TFSI quattro (340 HP);SAR 352,000;3;6;340;250;5 Seater;audi;ksa
Infiniti QX50 2021 2.0T Autograph (AWD);SAR 256,943;2;4;268;230;5 Seater;infiniti;ksa
Mercedes-Benz AMG GT 4-Door Coupe 2021 63 S 4MATIC+;SAR 880,000;4;8;639;310;4 Seater;mercedes-benz;ksa
Kia Cerato 2021 1.6L SX;SAR 68,200;1.6;4;128;190;5 Seater;kia;ksa
Suzuki Swift 2021 1.2L GL;SAR 66,344;1.2;4;82;165;5 Seater;suzuki;ksa
BMW 6 Series Gran Turismo 2021 630i;SAR 364,100;2;4;258;250;5 Seater;bmw;ksa
GMC Sierra Denali 2021 6.2L Crew Cab (AWD);SAR 275,600;6.2;8;420;180;5 Seater;gmc;ksa
Suzuki Swift 2021 1.2L GLX;SAR 69,460;1.2;4;82;165;5 Seater;suzuki;ksa
RAM 1500 2021 5.7L Rebel (Double Cab);SAR 252,300;5.7;8;395;175;5 Seater;ram;ksa
Borgward BX7 2021 2.0T AWD Ultimate (7-Seater);SAR 141,240;2;4;224;206;7 Seater;borgward;ksa
Audi S3 Sedan 2021 2.0 TFSI quattro (290 HP);SAR 215,050;2;4;290;250;5 Seater;audi;ksa
Kia Rio Hatchback 2021 1.4L MPI;SAR 54,890;1.4;4;100;180;5 Seater;kia;ksa
Mini Clubman 2021 Cooper S ALL4;SAR 192,500;2;4;192;228;5 Seater;mini;ksa
Kia Rio Hatchback 2021 1.6L MPI;SAR 62,590;1.6;4;123;190;5 Seater;kia;ksa
Borgward BX7 2021 2.0T Elite FWD (7-Seater);SAR 133,282;2;4;224;206;7 Seater;borgward;ksa
Peugeot 508 2021 1.6T GT Line;SAR 130,000;1.6;4;165;220;5 Seater;peugeot;ksa
Suzuki Ciaz 2021 1.5L GL;SAR 54,280;1.5;4;103;165;5 Seater;suzuki;ksa
Porsche Panamera Sport Turismo 2021 4 E-Hybrid;SAR 574,420;2.9;6;462;275;5 Seater;porsche;ksa
Porsche Panamera Sport Turismo 2021 Turbo S E-Hybrid;SAR 995,060;4;8;680;310;5 Seater;porsche;ksa
Porsche Panamera Sport Turismo 2021 Turbo;SAR 847,110;4;8;550;304;5 Seater;porsche;ksa
Porsche Panamera Sport Turismo 2021 GTS;SAR 697,180;4;8;460;289;5 Seater;porsche;ksa
Mercedes-Benz GLC Coupe 2021 250 4MATIC;SAR 266,866;2;4;211;222;5 Seater;mercedes-benz;ksa
Suzuki Ciaz 2021 1.5L GLX;SAR 64,285;1.5;4;104;165;5 Seater;suzuki;ksa
Mercedes-Benz GLC Coupe 2021 300 4MATIC;SAR 295,749;2;4;245;236;5 Seater;mercedes-benz;ksa
Chery Arrizo 3 2021 1.5L Comfort;SAR 42,100;1.5;4;107;175;5 Seater;chery;ksa
Toyota Hiace 2021 3.5L GL STD Roof Panel Van (3-Seater);SAR 108,905;3.5;4;277;160;3 Seater;toyota;ksa
Porsche Panamera Sport Turismo 2021 4S;SAR 609,290;2.9;6;440;286;5 Seater;porsche;ksa
Mercedes-Benz S Class Cabriolet 2021 S 560;SAR 660,745;4;8;465;250;4 Seater;mercedes-benz;ksa
Land Rover Range Rover Velar 2021 2.0L R-Dynamic SE (250 PS);SAR 286,465;2;4;250;217;5 Seater;land-rover;ksa
Mercedes-Benz S Class Cabriolet 2021 S63 4MATIC+;SAR 825,235;4;8;612;250;4 Seater;mercedes-benz;ksa
Alfa Romeo Stelvio 2021 Quadrifoglio;SAR 440,000;2.9;6;510;283;5 Seater;alfa-romeo;ksa
Land Rover Range Rover Velar 2021 2.0L S (250 PS);SAR 272,895;2;4;250;217;5 Seater;land-rover;ksa
Mercedes-Benz C Class Cabriolet 2021 C AMG 53 4MATIC+ Cabriolet;SAR 348,739;3;6;435;250;4 Seater;mercedes-benz;ksa
Alfa Romeo Stelvio 2021 Super;SAR 208,180;2;4;280;230;5 Seater;alfa-romeo;ksa
Mercedes-Benz AMG GT Roadster 2021 4.0L V8 (476 HP);SAR 597,370;4;8;476;302;2 Seater;mercedes-benz;ksa
Skoda Kodiaq 2021 2.0 TSI Style (AWD);SAR 139,755;2;4;180;207;7 Seater;skoda;ksa
Lamborghini Aventador S Roadster 2021 6.5L V12 (740 HP);SAR 2,035,000;6.5;12;740;350;2 Seater;lamborghini;ksa
Borgward BX5 2021 1.4T Comfort;SAR 87,706;1.4;4;147;180;5 Seater;borgward;ksa
GAC GA8 2021 2.0T GL;SAR 107,720;2;4;198;200;4 Seater;gac;ksa
Genesis G70 2021 2.0T Premium;SAR 258,675;2;4;252;240;5 Seater;genesis;ksa
Borgward BX5 2021 1.4T Elite;SAR 107,337;1.4;4;147;180;5 Seater;borgward;ksa
Borgward BX5 2021 1.4T Fashion;SAR 92,684;1.4;4;147;180;5 Seater;borgward;ksa
Kia Stinger 2021 2.0T (255 PS);SAR 145,420;2;4;251;240;5 Seater;kia;ksa
Mercedes-Benz AMG GT Roadster 2021 4.0L V8 (558 HP) C;SAR 738,502;4;8;558;316;2 Seater;mercedes-benz;ksa
Lamborghini Urus 2021 4.0T V8;SAR 1,078,000;4;8;650;305;4 Seater;lamborghini;ksa
Kia Stinger 2021 3.3T AWD Full Option (370 PS);SAR 187,000;3.3;6;365;270;5 Seater;kia;ksa
Lexus UX 200 2021 Elegant;SAR 172,615;2;4;169;180;4 Seater;lexus;ksa
BMW X2 2021 sDrive20i;SAR 214,500;2;4;189;180;5 Seater;bmw;ksa
Lincoln Nautilus 2021 2.0T (250 Hp);SAR 179,285;2;6;250;230;5 Seater;lincoln;ksa
Mercedes-Benz A-class Sedan 2021 200;SAR 164,779;0;4;163;230;5 Seater;mercedes-benz;ksa
Lexus UX 200 2021 Excellence;SAR 210,910;2;4;169;180;4 Seater;lexus;ksa
BMW 8 Series Convertible 2021 M 850i xDrive;SAR 610,500;4.4;8;523;250;4 Seater;bmw;ksa
BMW M2 Competition 2021 3.0T;SAR 416,900;3;6;410;280;4 Seater;bmw;ksa
BMW 8 Series Gran Coupe 2021 840i;SAR 498,300;3;8;340;250;4 Seater;bmw;ksa
Mazda CX-30 2021 2.0L Classic 4x2;SAR 89,824;2;4;155;192;5 Seater;mazda;ksa
BMW 8 Series Gran Coupe 2021 M850i xDrive;SAR 610,500;4.4;8;530;250;4 Seater;bmw;ksa
Bestune X40 2021 1.6L;SAR 56,982;1.6;4;112;168;5 Seater;bestune;ksa
McLaren Senna 2021 4.0T V8 Coupe;SAR 5,586,665;4;8;800;335;2 Seater;mclaren;ksa
Maxus D90 2021 2.0T Elite (2WD);SAR 84,000;2;4;225;185;7 Seater;maxus;ksa
Jetour X70 2021 1.5T Comfort;SAR 79,990;1.5;4;156;180;7 Seater;jetour;ksa
MG 6 2021 1.5T LUX;SAR 80,675;1.5;4;169;180;5 Seater;mg;ksa
Bestune T77 2021 1.2T Premium;SAR 81,133;0;4;148;181;5 Seater;bestune;ksa
Jetour X70 2021 1.5T Luxury;SAR 90,000;1.5;4;156;180;7 Seater;jetour;ksa
MG 6 2021 1.5T STD;SAR 67,450;1.5;4;169;180;5 Seater;mg;ksa
MG 6 2021 1.5T COM;SAR 71,935;1.5;4;169;180;5 Seater;mg;ksa
Hongqi HS5 2021 2.0T Deluxe;SAR 146,400;2;4;224;210;5 Seater;hongqi;ksa
Jetour X90 2021 1.6T Luxury;SAR 98,900;1.6;4;194;185;7 Seater;jetour;ksa
Hongqi HS5 2021 2.0T Premium (AWD);SAR 163,900;2;4;224;210;5 Seater;hongqi;ksa
Hongqi HS5 2021 2.0T Comfort;SAR 128,400;2;4;224;210;5 Seater;hongqi;ksa
Ferrari F8 Tributo 2021 3.9T V8;SAR 1,100,000;3.9;8;710;340;2 Seater;ferrari;ksa
Audi SQ8 2021 4.0 TFSI quattro (500 HP);SAR 320,000;4;8;500;250;5 Seater;audi;ksa
Toyota C HR 2021 1.8L Dynamic Hybrid;SAR 101,660;1.8;4;121;170;5 Seater;toyota;ksa
Toyota Supra 2021 2.0T GR;SAR 201,710;2;4;255;250;2 Seater;toyota;ksa
McLaren 765LT 2021 4.0T V8;SAR 1,685,300;4;8;755;330;2 Seater;mclaren;ksa
Great Wall Wingle 7 2021 2.4T Single Cabin (RWD) (Petrol);SAR 58,619;2.4;4;147;180;5 Seater;great-wall;ksa
Ferrari F8 Spider 2021 3.9T V8;SAR 1,200,000;3.9;8;710;340;2 Seater;ferrari;ksa
Volkswagen Golf GTI 2021 2.0T P1 Full option;SAR 141,383;2;4;245;210;5 Seater;volkswagen;ksa
Peugeot 2008 2021 1.6L (115HP) Active+;SAR 69,000;1.6;4;115;200;5 Seater;peugeot;ksa
Volkswagen Golf GTI 2021 2.0T P2 Full option;SAR 162,341;2;4;245;210;5 Seater;volkswagen;ksa
Peugeot 2008 2021 1.6L (115HP) Allure+;SAR 75,000;1.6;4;115;200;5 Seater;peugeot;ksa
Peugeot 2008 2021 1.2T (155HP) GT;SAR 91,000;1.2;3;155;208;5 Seater;peugeot;ksa
Chery Arrizo 3 2022 1.5L Luxury;SAR 44,500;1.5;4;107;175;5 Seater;chery;ksa
Renault Symbol 2021 1.6L PE;SAR 50,370;1.6;4;102;180;5 Seater;renault;ksa
Hyundai Accent 2021 1.4L Base;SAR 52,000;1.4;4;100;183;5 Seater;hyundai;ksa
Mitsubishi L200 2021 2.4L Single Cab GL (2WD);SAR 67,023;2.4;4;128;169;3 Seater;mitsubishi;ksa
Hyundai Accent 2021 1.6L Base;SAR 53,350;1.6;4;123;193;5 Seater;hyundai;ksa
Chevrolet Spark 2021 1.4L LT;SAR 47,375;1.4;4;98;170;5 Seater;chevrolet;ksa
Hyundai Accent 2021 1.4L Mid;SAR 55,000;1.4;4;100;183;5 Seater;hyundai;ksa
Toyota Yaris Sedan 2021 1.5L Y Plus (CVT);SAR 59,685;1.5;4;105;175;5 Seater;toyota;ksa
Toyota Yaris Sedan 2021 1.3L STD (M/T);SAR 52,785;1.3;4;98;165;5 Seater;toyota;ksa
Renault Duster 2021 2.0L PE (4x4);SAR 71,990;2;4;135;178;5 Seater;renault;ksa
MG RX5 2021 1.5T Luxury;SAR 81,135;1.5;4;169;170;5 Seater;mg;ksa
Kia Picanto 2021 1.2L Base;SAR 42,620;1.2;4;84;161;5 Seater;kia;ksa
MG RX5 2021 1.5T Standard;SAR 68,025;1.5;4;169;170;5 Seater;mg;ksa
Toyota Yaris Sedan 2021 1.5L Y (CVT);SAR 57,040;1.5;4;105;175;5 Seater;toyota;ksa
Hyundai Accent 2021 1.6L High;SAR 60,500;1.6;4;123;193;5 Seater;hyundai;ksa
BYD F3 2021 1.5L Luxury;SAR 49,450;1.5;4;110;170;5 Seater;byd;ksa
Kia Picanto 2021 1.2L Top;SAR 59,252;1.2;4;84;161;5 Seater;kia;ksa
MG RX5 2021 1.5T COM;SAR 76,650;1.5;4;169;170;5 Seater;mg;ksa
Hyundai Creta 2021 1.4T;SAR 75,000;1.4;4;138;190;5 Seater;hyundai;ksa
Hyundai Creta 2021 1.6L Basic;SAR 66,990;1.6;4;121;169;5 Seater;hyundai;ksa
BYD F3 2021 1.5L Comfort;SAR 44,275;1.5;4;110;170;5 Seater;byd;ksa
Hyundai Elantra 2021 1.6L Smart;SAR 66,165;1.6;4;127;209;5 Seater;hyundai;ksa
Toyota Rush 2021 1.5L STD (7-Seater);SAR 71,990;1.5;4;103;175;7 Seater;toyota;ksa
Ford Figo 2021 1.5L Ambiente H/B;SAR 64,900;1.5;4;110;175;5 Seater;ford;ksa
Hyundai Kona 2021 2.0L GLS Smart;SAR 76,890;2;4;150;194;5 Seater;hyundai;ksa
Ford Figo 2021 1.5L Trend H/B;SAR 69,190;1.5;4;110;175;5 Seater;ford;ksa
Hyundai Kona 2021 2.0L GLS Premium;SAR 90,090;2;4;150;194;5 Seater;hyundai;ksa
Mitsubishi ASX 2021 2.0L GLX (2WD);SAR 79,375;2;4;150;193;5 Seater;mitsubishi;ksa
Fiat 500 2021 1.4L Hatch POP;SAR 71,185;1.4;4;100;182;4 Seater;fiat;ksa
Hyundai Kona 2021 2.0L GLS Comfort (Lime Pack);SAR 84,590;2;4;150;194;5 Seater;hyundai;ksa
Hyundai Kona 2021 2.0L GLS Comfort (Red Pack);SAR 84,590;2;4;150;194;5 Seater;hyundai;ksa
Suzuki Dzire 2021 1.2L GL;SAR 44,735;1.2;4;82;170;5 Seater;suzuki;ksa
Suzuki Ertiga 2021 1.5L GL;SAR 69,460;1.5;4;103;170;7 Seater;suzuki;ksa
Hyundai Kona 2021 2.0L GLS Comfort;SAR 84,590;2;4;150;194;5 Seater;hyundai;ksa
Hyundai Kona 2021 2.0L GLS Premium Sunroof;SAR 95,700;2;4;150;194;5 Seater;hyundai;ksa
Suzuki Dzire 2021 1.2L GLX;SAR 46,345;1.2;4;82;170;5 Seater;suzuki;ksa
Mazda CX 3 2021 2.0L GS (FWD);SAR 73,149;2;4;148;190;5 Seater;mazda;ksa
Toyota Hilux 2021 2.4L GL M/T Diesel (4x2);SAR 87,860;2.4;4;147;165;3 Seater;toyota;ksa
Suzuki Baleno 2021 1.4L GL;SAR 50,255;1.4;4;91;170;5 Seater;suzuki;ksa
Hyundai Creta 2021 1.6L Mid;SAR 79,750;1.6;4;121;169;5 Seater;hyundai;ksa
Peugeot 208 2021 1.2T GT;SAR 75,000;1.2;3;130;208;5 Seater;peugeot;ksa
Changan CS35 2021 1.6L Standard (2WD);SAR 44,900;1.6;4;123;180;5 Seater;changan;ksa
Hyundai Tucson 2021 1.6L GDI TLe Basic (FWD);SAR 86,295;1.6;4;132;170;5 Seater;hyundai;ksa
Hyundai Tucson 2021 1.6L GDI Basic Panorama (FWD);SAR 88,990;1.6;4;132;170;5 Seater;hyundai;ksa
Skoda Fabia 2021 1.6L Ambition;SAR 57,173;1.6;4;110;190;5 Seater;skoda;ksa
Toyota Hilux 2021 2.4L GL Double Cab DSL M/T (4x2);SAR 95,795;2.4;4;147;165;6 Seater;toyota;ksa
Nissan X-Trail 2021 S 2WD (7-Seater);SAR 93,899;2.5;4;169;170;7 Seater;nissan;ksa
Mitsubishi Outlander 2021 2.4L GLX (7-Seater) Mid;SAR 98,350;2.4;4;167;198;7 Seater;mitsubishi;ksa
Mitsubishi Eclipse Cross 2021 1.5T GLS (Base Option);SAR 91,450;1.5;4;147;200;5 Seater;mitsubishi;ksa
Nissan Kicks 2021 1.6 SL;SAR 79,000;1.6;4;118;180;5 Seater;nissan;ksa
Nissan X-Trail 2021 S 2WD (5-Seater);SAR 92,499;2.5;4;169;170;5 Seater;nissan;ksa
Bestune B50 2021 1.6L Elegant;SAR 56,293;1.6;4;107;162;5 Seater;bestune;ksa
Hyundai Elantra 2021 2.0L GLS;SAR 76,000;2;4;150;205;5 Seater;hyundai;ksa
Mitsubishi Eclipse Cross 2021 1.5T GLS Highline;SAR 112,150;1.5;4;147;200;5 Seater;mitsubishi;ksa
Mitsubishi Eclipse Cross 2021 1.5T GLS Topline;SAR 115,600;1.5;4;147;200;5 Seater;mitsubishi;ksa
Suzuki Baleno 2021 1.4L GLX;SAR 55,085;1.4;4;91;170;5 Seater;suzuki;ksa
Mitsubishi Eclipse Cross 2021 1.5T GLS (Mid Option);SAR 109,850;1.5;4;147;200;5 Seater;mitsubishi;ksa
Suzuki Ertiga 2021 1.5L GLX;SAR 75,095;1.5;4;103;170;7 Seater;suzuki;ksa
Mitsubishi Outlander 2021 2.4L GLX (7-Seater) Standard;SAR 92,600;2.4;4;167;198;7 Seater;mitsubishi;ksa
Nissan X-Trail 2021 S AWD (5-Seater);SAR 96,999;2.5;4;169;170;5 Seater;nissan;ksa
Fiat 500X 2021 1.4T City Cross;SAR 66,500;1.4;4;140;190;5 Seater;fiat;ksa
Mitsubishi L200 2021 2.4L Double Cab GL (2WD);SAR 76,223;2.4;4;128;169;6 Seater;mitsubishi;ksa
Foton Tunland 2021 2.4L Single Cabin (4X2);SAR 46,200;2.4;4;136;160;2 Seater;Foton;ksa
Nissan X-Trail 2021 S AWD (7-Seater);SAR 98,399;2.5;4;169;170;7 Seater;nissan;ksa
Mitsubishi L200 2021 2.4L Double Cab GLX (4WD);SAR 84,150;2.4;4;128;167;5 Seater;mitsubishi;ksa
Hyundai Tucson 2021 2.0L Standard (FWD);SAR 87,175;2;4;153;170;5 Seater;hyundai;ksa
Toyota Hilux 2021 2.7L GLX M/T (4x2) Short;SAR 89,010;2.7;4;164;165;3 Seater;toyota;ksa
Hyundai Creta 2021 1.6L Top;SAR 87,450;1.6;4;121;169;5 Seater;hyundai;ksa
Mazda 6 2021 2.5L Core;SAR 98,900;2.5;4;185;220;5 Seater;mazda;ksa
Foton Tunland 2021 2.4L Double Cabin (4X2);SAR 51,700;2.4;4;136;160;5 Seater;Foton;ksa
Mitsubishi L200 2021 2.5L Single Cab GL (2WD);SAR 61,850;2.5;4;136;167;5 Seater;mitsubishi;ksa
Mazda 6 2021 2.5T Signature;SAR 133,400;2.5;4;231;239;5 Seater;mazda;ksa
Mitsubishi L200 2021 2.4L Double Cab GLX Diesel (4WD);SAR 85,655;2.4;4;136;167;5 Seater;mitsubishi;ksa
Mazda 6 2021 2.5L S;SAR 86,350;2.5;4;185;220;5 Seater;mazda;ksa
Toyota Camry 2021 2.5L LE STD (204 HP);SAR 97,635;2.5;4;204;195;5 Seater;toyota;ksa
Mazda 6 2021 2.5T 100th Special Version;SAR 138,000;2.5;4;231;239;5 Seater;mazda;ksa
Mitsubishi L200 2021 2.5L Double Cab GL (2WD);SAR 81,400;2.5;4;136;167;5 Seater;mitsubishi;ksa
Mitsubishi L200 2021 2.5L Double Cab GLS (4WD);SAR 89,450;2.5;4;136;167;5 Seater;mitsubishi;ksa
Mazda 6 2021 2.5T Ignite;SAR 126,500;2.5;4;231;239;5 Seater;mazda;ksa
Mitsubishi Eclipse Cross 2021 1.5T GLS (Full Option);SAR 95,700;1.5;4;147;200;5 Seater;mitsubishi;ksa
Toyota Rav4 2021 2.0L XLE AWD;SAR 118,450;2;4;170;200;5 Seater;toyota;ksa
Hyundai Kona 2021 1.6L T-GDI GLS Premium (AWD);SAR 85,000;1.6;4;175;205;5 Seater;hyundai;ksa
Chevrolet Trax 2021 1.8L Premier AWD;SAR 96,250;1.8;4;140;180;5 Seater;chevrolet;ksa
Toyota Camry 2021 2.5L LE (204 HP);SAR 101,890;2.5;4;205;195;5 Seater;toyota;ksa
Renault Megane 2021 2.0L PE;SAR 70,035;2;4;140;209;5 Seater;renault;ksa
Toyota Hilux 2021 2.4L GL 2 Double Cab DSL M/T (4x4);SAR 116,035;2.4;4;147;175;6 Seater;toyota;ksa
Chevrolet Equinox 2021 1.5T LS (FWD);SAR 93,500;1.5;4;170;190;5 Seater;chevrolet;ksa
Renault Megane 2021 1.6L PE;SAR 67,700;1.6;4;115;180;5 Seater;renault;ksa
Nissan X-Trail 2021 SV X-Treamer AWD (7-Seater);SAR 119,900;2.5;4;169;170;7 Seater;nissan;ksa
Toyota Rav4 2021 2.0L LE AWD;SAR 102,925;2;4;170;200;5 Seater;toyota;ksa
Mitsubishi Montero Sport 2021 3.0L GLX (2WD) mid;SAR 114,450;3;6;215;182;5 Seater;mitsubishi;ksa
Peugeot 3008 2021 1.6T Active;SAR 90,000;1.6;4;165;205;5 Seater;peugeot;ksa
GMC Terrain 2021 1.5T SLE (FWD);SAR 108,500;1.5;4;170;200;5 Seater;gmc;ksa
Toyota Innova 2021 2.8T STD Diesel;SAR 110,400;2.8;4;174;170;8 Seater;toyota;ksa
Suzuki Vitara 2021 1.6L GLX 2WD;SAR 85,215;1.6;4;115;180;5 Seater;suzuki;ksa
Toyota Innova 2021 2.7L STD;SAR 103,500;2.7;4;164;170;8 Seater;toyota;ksa
Changan CS35 2021 1.6L Full Option (2WD);SAR 50,900;1.6;4;123;180;5 Seater;changan;ksa
Hyundai Kona 2021 1.6L T-GDI GLS Premium Sunroof (AWD);SAR 86,000;1.6;4;175;205;5 Seater;hyundai;ksa
Mazda CX-5 2021 2.5L GT (AWD);SAR 120,120;2.5;4;188;210;5 Seater;mazda;ksa
Mitsubishi Outlander 2021 3.0L GLS (7-Seater) High;SAR 104,100;3;6;227;205;7 Seater;mitsubishi;ksa
Kia Cerato Hatchback 2021 1.6L Base;SAR 77,424;1.6;4;130;190;5 Seater;kia;ksa
Subaru XV 2021 2.0L Standard;SAR 93,000;2;4;150;194;5 Seater;subaru;ksa
Toyota Camry 2021 2.5L GLE (204 HP);SAR 111,665;2.5;4;205;195;5 Seater;toyota;ksa
Mitsubishi Pajero 2021 3.5L GLS 5 Door;SAR 132,850;3.5;6;189;180;7 Seater;mitsubishi;ksa
Peugeot 5008 2021 1.6T Active;SAR 97,500;1.6;4;180;219;7 Seater;peugeot;ksa
Toyota Hilux 2021 2.7L GLX Double Cab M/T (4x2);SAR 108,790;2.7;4;164;165;6 Seater;toyota;ksa
Toyota Hilux 2021 2.7L GLX 2 Double Cab M/T (4x2);SAR 112,355;2.7;4;164;165;5 Seater;toyota;ksa
Chevrolet Malibu 2021 1.5L Turbo Premier;SAR 117,080;1.5;4;165;220;5 Seater;chevrolet;ksa
Nissan Navara 2021 2.5L ASF 4x2 M/T;SAR 98,082;2.5;4;158;160;6 Seater;nissan;ksa
Toyota Fortuner 2021 2.7L GX2 (4X2);SAR 117,875;2.7;4;160;180;7 Seater;toyota;ksa
Toyota Camry 2021 2.5L Lumiere Hybrid (212 HP);SAR 150,650;2.5;4;212;200;5 Seater;toyota;ksa
Toyota Hilux 2021 2.7L GL 2 Double Cab M/T (4x4);SAR 113,965;2.7;4;164;165;6 Seater;toyota;ksa
Nissan X-Trail 2021 SL AWD (7-Seater) W/Safety Shield;SAR 126,999;2.5;4;169;170;7 Seater;nissan;ksa
Toyota Camry 2021 2.5L GLE HEV;SAR 113,505;2.5;4;176;200;5 Seater;toyota;ksa
Nissan Navara 2021 2.5L CPR 4x2 A/T W/BS;SAR 104,287;2.5;4;158;160;5 Seater;nissan;ksa
Chevrolet Malibu 2021 1.5L Turbo LT;SAR 90,430;1.5;4;165;220;5 Seater;chevrolet;ksa
Nissan Navara 2021 2.5L CSF 4WD DIESEl 6MT W/BS;SAR 100,305;2.5;4;168;155;5 Seater;nissan;ksa
Honda Odyssey J 2021 2.4 EX;SAR 132,135;2.4;4;172;170;8 Seater;honda;ksa
Haval H6 2021 Supreme;SAR 73,990;2;4;197;170;5 Seater;haval;ksa
Haval H6 2021 Intelligent;SAR 67,990;2;4;197;170;5 Seater;haval;ksa
Kia Optima 2021 2.0L T-GDI GT;SAR 120,450;2;4;240;205;5 Seater;kia;ksa
Haval H6 2021 Fashionable;SAR 62,900;2;4;197;170;5 Seater;haval;ksa
Hyundai Tucson 2021 2.4L GDI Full Option (AWD);SAR 120,000;2.4;4;181;180;5 Seater;hyundai;ksa
Peugeot 3008 2021 1.6T Allure;SAR 105,000;1.6;4;165;205;5 Seater;peugeot;ksa
Kia Cerato Hatchback 2021 1.6L Top;SAR 90,734;1.6;4;130;190;5 Seater;kia;ksa
Kia Optima 2021 2.4L GDI;SAR 75,570;2.4;4;185;205;5 Seater;kia;ksa
Nissan Altima 2021 2.0 Turbo SV;SAR 107,500;2;4;248;220;5 Seater;nissan;ksa
